,movie_id,rating
421,2710656,7.2
422,2710710,6.8
423,2710743,7.9
424,2710768,6.9
425,2710341,6.6
426,2710492,6.2
427,2710717,6.2
428,2710769,6.8
429,2710784,6.0
430,2710790,6.4
431,2710832,6.4
432,2710846,8.1
433,2710852,5.6
434,2710876,8.0
435,2710901,9.0
436,2710903,5.3
437,2710904,5.3
438,2710946,5.6
439,2710963,2.7
440,2710973,4.9
441,2710990,9.3
442,2711020,7.4
443,2711035,5.8
444,2711042,9.5
445,2711058,7.0
446,2711064,6.2
447,2711078,8.5
448,2710920,6.4
449,2710949,8.0
450,2711090,7.5
451,2711111,5.8
452,2711129,5.8
453,2711157,7.2
454,2711399,4.7
455,2711864,8.7
456,2711874,6.6
457,2711953,5.6
458,2711955,7.9
459,2711969,7.7
460,2711978,7.3
461,2711979,8.3
462,2711997,8.9
463,2712038,5.5
464,2712045,8.4
465,2712056,7.5
466,2712057,7.5
467,2712095,6.4
468,2712138,7.2
469,2712264,7.0
470,2712301,5.1
471,2712342,6.2
472,2712352,6.7
473,2712353,1.8
474,2712356,2.5
475,2712358,7.9
476,2712362,5.2
477,2712374,6.4
478,2712377,3.8
479,2712396,8.7
480,2712397,6.0
481,2712406,7.1
482,2712463,6.4
483,2712422,7.8
484,2712445,7.0
485,2712454,7.4
486,2712465,5.9
487,2712472,7.0
488,2712476,8.9
489,2712483,5.1
490,2712491,6.7
491,2712497,6.7
492,2712522,7.2
493,2712547,6.6
494,2712487,7.2
495,2712536,6.3
496,2712552,6.6
497,2712557,7.2
498,2712558,7.8
499,2712571,6.5
500,2712636,8.0
501,2712646,7.4
502,2712651,7.1
503,2712674,5.4
504,2712691,4.5
505,2712714,6.4
506,2712717,6.1
507,2712741,6.4
508,2712745,5.9
509,2712748,8.4
510,2712751,6.8
511,2712756,4.1
512,2712764,8.6
513,2712773,6.0
514,2712779,9.0
515,2712798,4.9
516,2712814,3.6
517,2712822,8.2
518,2712825,8.4
519,2712845,4.2
520,2712897,3.6
521,2712921,3.4
522,2712922,9.0
523,2712934,4.9
524,2712925,8.7
525,2712927,9.3
526,2712928,5.6
527,2713016,7.5
528,2712836,7.4
529,2712855,7.5
530,2712874,7.1
531,2712961,6.1
532,2713071,5.1
533,2713072,7.0
534,2713074,9.0
535,2713094,8.1
536,2713095,5.0
537,2713133,8.0
538,2713139,6.2
539,2713146,7.6
540,2713162,6.7
541,2713182,6.1
542,2713196,5.5
543,2713200,6.7
544,2713235,6.5
545,2713297,7.2
546,2713299,2.6
547,2713351,7.3
548,2713346,6.5
549,2713358,9.2
550,2713417,8.0
551,2713437,4.6
552,2713441,7.0
553,2713459,6.3
554,2713461,5.8
555,2713492,6.1
556,2713526,6.9
557,2713529,7.8
558,2713545,6.7
559,2713568,4.3
560,2713578,6.2
561,2713595,6.5
562,2713601,6.3
563,2713621,9.7
564,2713626,7.9
565,2713628,9.4
566,2713640,7.1
567,2713684,5.9
568,2713699,5.2
569,2713681,6.1
570,2713702,9.4
571,2713715,6.9
572,2713734,7.2
573,2713736,6.1
574,2713748,2.8
575,2713757,5.7
576,2713768,6.4
577,2713765,6.8
578,2713776,3.4
579,2713780,8.0
580,2713784,6.6
581,2713827,5.5
582,2713864,8.8
583,2713866,3.1
584,2713870,4.6
585,2713899,5.5
586,2713903,6.2
587,2713927,5.3
588,2713928,4.2
589,2713966,3.4
590,2713993,5.7
591,2714024,1.9
592,2714030,4.3
593,2714056,8.6
594,2714066,7.2
595,2714067,7.8
596,2714072,7.7
597,2714075,7.8
598,2714089,6.4
599,2714108,6.9
600,2714127,7.8
601,2714130,7.4
602,2714134,5.9
603,2714165,7.5
604,2714188,4.2
605,2714199,5.9
606,2714203,4.8
607,2714220,6.5
608,2714235,3.9
609,2714238,6.8
610,2714239,8.0
611,2714269,5.4
612,2714275,5.2
613,2714297,6.8
614,2714298,6.1
615,2714301,4.8
616,2714326,6.5
617,2713762,7.1
618,2713837,8.5
619,2713855,5.9
620,2713897,9.0
621,2713922,6.9
622,2713989,6.3
623,2714012,5.5
624,2714107,7.0
625,2714148,5.1
626,2714179,4.6
627,2714341,5.0
628,2714350,5.6
629,2714354,7.9
630,2714374,8.1
631,2714392,6.4
632,2714414,7.8
633,2714426,6.4
634,2714428,8.7
635,2714429,5.3
636,2714434,7.3
637,2714443,5.3
638,2714472,4.1
639,2714483,8.5
640,2714492,9.2
641,2714497,7.2
642,2714510,7.1
643,2714518,7.5
644,2714528,6.4
645,2714542,6.6
646,2714555,7.5
647,2714561,6.1
648,2714571,4.1
649,2714576,2.6
650,2714597,6.6
651,2714605,5.9
652,2714607,8.8
653,2714640,7.6
654,2714649,8.5
655,2714467,7.3
656,2714562,6.7
657,2714623,5.4
658,2714662,6.1
659,2714671,9.0
660,2714687,6.5
661,2714722,5.7
662,2714691,7.2
663,2714733,8.2
664,2714740,7.1
665,2714757,6.2
666,2714766,8.6
667,2714785,7.1
668,2714786,6.8
669,2714788,6.4
670,2714803,5.3
671,2714807,5.2
672,2714820,7.5
673,2714815,5.7
674,2714833,7.0
675,2714835,7.4
676,2714846,6.7
677,2714857,7.1
678,2714861,4.9
679,2714876,8.4
680,2714890,5.6
681,2714892,8.0
682,2714896,7.9
683,2714899,6.0
684,2714914,5.4
685,2714915,6.6
686,2714929,6.2
687,2714935,5.0
688,2714950,7.9
689,2714953,7.2
690,2715004,6.9
691,2715023,8.9
692,2715000,5.8
693,2715002,7.2
694,2715055,7.0
695,2715081,7.0
696,2715085,2.7
697,2715088,7.2
698,2715094,6.2
699,2715098,5.8
700,2715113,5.7
701,2715114,6.3
702,2715131,6.5
703,2715140,6.8
704,2715142,5.8
705,2715145,6.6
706,2715146,7.5
707,2715155,7.6
708,2715156,7.8
709,2715159,6.4
710,2715176,7.5
711,2715177,4.2
712,2715208,6.6
713,2715210,8.6
714,2715220,6.2
715,2715222,6.3
716,2715230,9.1
717,2715232,3.8
718,2715234,4.9
719,2715235,5.8
720,2715283,7.0
721,2715287,7.2
722,2715299,8.9
723,2715321,4.8
724,2715334,6.2
725,2715350,5.8
726,2715351,6.6
727,2715368,2.5
728,2715369,4.4
729,2715388,7.2
730,2715398,3.6
731,2715402,9.1
732,2715423,7.2
733,2715461,7.0
734,2715485,5.9
735,2715497,7.2
736,2715546,7.4
737,2715588,8.4
738,2715620,6.9
739,2715643,7.0
740,2715656,5.0
741,2715671,1.6
742,2715679,6.4
743,2715711,6.3
744,2715585,9.3
745,2715766,6.8
746,2715789,9.3
747,2715804,2.4
748,2715805,6.9
749,2715817,7.0
750,2715847,8.2
751,2715851,6.3
752,2715852,8.2
753,2715862,8.3
754,2715867,9.3
755,2715888,7.4
756,2715915,6.8
757,2715922,8.7
758,2715930,4.5
759,2715933,7.4
760,2715974,7.2
761,2715983,4.2
762,2715985,2.8
763,2716002,7.2
764,2716003,6.4
765,2716019,5.7
766,2716032,7.2
767,2716036,5.6
768,2716046,7.5
769,2716061,7.7
770,2716084,8.3
771,2716090,8.4
772,2716125,7.7
773,2716140,7.5
774,2716197,7.6
775,2716210,5.6
776,2716220,7.1
777,2716219,6.8
778,2716226,7.6
779,2716236,8.2
780,2716267,6.0
781,2716269,9.2
782,2716274,6.3
783,2716278,6.0
