,movie_id,mpaa
225,2771301,"Rated R for strong violence, pervasive language, sexuality/nudity and drug content"
226,2771919,Rated PG-13 for violent images
227,2771952,"Rated R for strong sexuality, graphic nudity, pervasive language and some drug use"
228,2771980,Rated R for sexual content and language throughout
229,2772522,"Rated R for strong violence, pervasive language, some sexual material and brief drug use."
230,2772566,"Rated R for strong sexual content, graphic nudity, language throughout, drug/alcohol abuse-all involving teens"
231,2772593,"Rated R for pervasive language, some sexual content and brief violence"
232,2772602,"Rated R for crude and sexual content, nudity, language and some drug use"
233,2772713,"Rated R for strong aberrant violent content including disturbing images, torture, a rape, sexual content, graphic nudity, language and brief drug use"
234,2772728,"Rated R for sexual content, language and a brief nude image"
235,2772760,Rated PG for thematic elements
236,2772825,"Rated R for some strong sexual material, language and brief violent images"
237,2772918,"Rated R for crude and sexual content throughout, nudity, language, brief drug use and teen drinking"
238,2773005,"Rated R for strong and disturbing war violence, and language throughout including some sexual references"
239,2773115,"Rated R for strong bloody violence, language throughout, drug use and some sexual content"
240,2773190,"Rated PG-13 for violence, some disturbing images, language and thematic material"
241,2773278,"Rated R for language, drug use and sexuality"
242,2773281,Rated PG-13 for sequences of violence
243,2773355,Rated R for language and some sexual content
244,2773670,Rated R for strong horror violence and for language (edited for re-rating)
245,2773959,"Rated R for violence, language, some sexuality and drug use"
246,2774653,"Rated PG-13 for mature thematic material including a disturbing act, and for brief language"
247,2775008,Rated R for language and drug material
248,2775509,"Rated R for language, drug use and some sexual content"
249,2776400,Rated PG for thematic elements and brief language
250,2776652,"Rated PG for thematic elements, some violent images and brief language"
251,2777164,Rated PG - 13 for disturbing thematic content involving child sexual abuse and its ramifications (re-rating)
252,2777164,Rated R for some descriptions of sexual abuse (surrendered)
253,2777810,Rated PG-13 for violence and scary images
254,2779627,"Rated PG-13 for crude and sexual content, drug use, language and comic violence"
255,2779627,"Rated R for language, drug use, sexual material and references (Super-Sized R-rated version)"
256,2779944,Rated PG-13 for some sexual references and drug elements
257,2780134,Rated PG-13 for some crude and sexual references
258,2780178,"Rated R for some sexual content, language and brief drug use"
259,2780772,Rated R for language and brief nudity
260,2780868,Rated R for language and some violence
261,2781126,"Rated R for language, sexual content, drug use and brief violence"
262,2781723,Rated PG for some thematic elements
263,2782308,Rated R for language and some sexual content
264,2782334,"Rated PG-13 for thematic elements, sexual material, some menace, language, smoking and teen drinking"
265,2782399,Rated PG for mild thematic elements and brief language
266,2782658,Rated PG for rude humor and action
267,2782804,Rated PG-13 for some violent content
268,2783944,Rated PG for mild thematic material
269,2784559,Rated R for some sexuality and violence
270,2784757,Rated R for intense sequences of disturbing violence and terror
271,2785023,Rated PG for some mild language and rude humor
272,2785392,"Rated R for strong sexual content, graphic nudity and language"
273,2785484,Rated PG-13 for some violence and sexual content
274,2785697,"Rated PG-13 for disturbing images, some sexuality, nudity and brief drug use"
275,2785743,"Rated R for teen drug/alcohol abuse, pervasive language including sexual references, and brief graphic nudity"
276,2785827,"Rated PG-13 for thematic elements, some sexuality/nudity, violence and language"
277,2786169,"Rated PG-13 for sexual content, language and smoking"
278,2786194,"Rated R for some strong sexual content, nudity, violence and language"
279,2786215,Rated PG-13 for sci-fi action violence
280,2786239,"Rated R for strong violence including a rape, sexual content, some drug use and language"
281,2786289,Rated PG for mild thematic elements and language
282,2786312,"Rated PG for some action, language and mild rude humor"
283,2786314,Rated PG for some action sequences and rude behavior
284,2786573,Rated R for violence and some disturbing images
285,2787399,"Rated R for sexual content, language and some drug use"
286,2788091,"Rated R for some violence, bloody images and language (original rating)"
287,2788141,"Rated R for language, some violent content and brief sexuality"
288,2788780,"Rated PG-13 for some disturbing sequences, and language"
289,2789068,Rated PG-13 for some thematic content
290,2789072,Rated R for language and violent content
291,2789305,"Rated PG-13 for sci-fi action and violence throughout, and a sexual reference"
292,2789426,"Rated PG for thematic elements, language, some action violence and brief smoking"
293,2789431,Rated R for language
294,2790777,"Rated R for language, brief violent images and drug use"
295,2791424,"Rated R for language, drug use and some sexual content/nudity"
296,2791538,"Rated R for language throughout, and some sexuality/nudity"
297,2791801,Rated R for language and some violent images
298,2792956,Rated R for language and drug use
299,2793504,Rated PG-13 for brief strong language
300,2794246,"Rated PG-13 for violence, pervasive martial arts action, substance abuse, some sensuality and thematic elements"
301,2794560,"Rated PG-13 for alcohol use throughout, sexual content, language and some drug references"
302,2794592,Rated PG for some mild rude humor
303,2794622,"Rated R for sexual content, language and brief drug use"
304,2795390,"Rated R for bloody violence/terror, and language throughout"
305,2795485,"Rated R for sexual content including an assault, and some teen drinking"
